restaurant,rating,review,review_length,biryani_order,Biryani,Ambience,Service,Quality,Buffet,tsne1,tsne2,label
100C,4.625,16,282.125,0.2952733291890109,0.2331114502359296,0.058192812446969513,0.11444003894898393,0.2733305978364181,0.025651771342687885,34.604137,5.1483550000000005,2
1441 Pizzeria,4.2,25,553.88,0.061562322822953035,0.025357415592840084,0.0336566036715638,0.6993418215097479,0.06699151180166389,0.11309032460123113,-39.153248,1.5321285,2
1722 Urban Bistro,4.395348837209301,43,611.6046511627908,0.2627103999721343,0.016395647962523782,0.1702987707500279,0.35431796870204496,0.12419800361490095,0.07207920899836809,-5.722256,4.6837983,2
1947,4.166666666666667,48,388.95833333333326,0.05783593138287449,0.03031957340399152,0.0974087081163444,0.3820534083528482,0.09914162382563464,0.3332407549183066,-25.234114,-22.952934,0
24th Main,4.3,10,409.3,0.028908194279721543,0.003965175428425054,0.08137787144395546,0.2890391391553559,0.1046997153483266,0.4920099043442154,-28.374153000000003,-28.099382000000002,0
3 Spice,4.455223880597014,67,238.35820895522392,0.2203456397614228,0.1209187999425453,0.08426202018619308,0.2643769854778717,0.17794266584417393,0.1172285156534648,25.484438,-0.93898284,1
36th Cross Coffee Mane,4.5,13,392.8461538461538,0.11473296029301712,0.09801386250043743,0.10286495645494327,0.2737208496676717,0.2229603099144192,0.1877070611695113,22.36208,-15.961495999999999,0
7 Plates,4.090909090909091,22,579.5909090909091,0.3175572454957386,0.054292032744753874,0.05537442393534772,0.3187668247588149,0.0902272590028357,0.16378221406250915,9.815458999999999,15.108745,3
A1 Spice Inn,4.136363636363637,11,342.1818181818182,0.2693817966603805,0.2633176103923343,0.125474838406109,0.10107338254357463,0.11238652131103434,0.1283658506865672,37.386627000000004,2.081667,2
A2B Adyar Ananda Bhavan,4.25,86,326.54651162790697,0.14549555680887993,0.0238488235281082,0.06291845053446726,0.4105007547131695,0.16559467045146195,0.1218743021034482,-8.632107000000001,-10.647507000000001,1
AB's Absolute Barbecues,4.593155893536122,263,422.81749049429664,0.043879607917568335,0.027185487629158823,0.04844493250195228,0.5255099086416385,0.09545219849180968,0.24431873934258744,-28.966340000000002,-12.2767515,1
ABC Grand,4.264705882352942,17,316.0,0.2235847611135044,0.19616989878140512,0.06555243052099757,0.3124856322722846,0.10092204109397744,0.10128523621783084,30.646294,-0.07877721,2
ASEAN On The Edge,4.214285714285714,14,579.5,0.15729068664424872,0.0,0.10290161034511654,0.4273129162766551,0.14150629237898202,0.02813135149785477,-14.288885999999998,7.564064500000001,2
Aagaman Veg,4.2727272727272725,11,535.7272727272727,0.083744490566045,0.0056586481174531284,0.1393941188153932,0.30127762488847337,0.15408428221721604,0.3158408353954192,-22.06973,-25.535416,0
Aaha Andhra,4.55128205128205,39,279.43589743589746,0.24417476724470225,0.19175297319634613,0.048276288948393885,0.13473776998388734,0.21136539680224686,0.0414876756192952,33.709713,4.167122,2
Aami Bangali,4.5,10,580.7,0.2791040003207608,0.0556719992968284,0.09814984553760638,0.3749732663836809,0.1460947984677947,0.046006089993328905,-0.13236263,9.171199,2
Aaranya Restaurant,4.014285714285714,70,313.17142857142863,0.09437055984628903,0.041201608058522375,0.16369475720840132,0.3781660954199376,0.1477110821867195,0.13199875442298747,-12.799579,-8.453092999999999,1
Abhiruchi,4.0540540540540535,37,328.27027027027026,0.2288517785971545,0.17034768539280898,0.01801677009041864,0.35012497443246443,0.11466800168351753,0.11799078980363598,28.129897999999997,1.3895440000000001,2
Aioli,4.5,11,595.2727272727273,0.2142416148906428,0.024523934900195308,0.06688868738557477,0.5769935207243553,0.11611084823207388,0.001241393867157919,-23.485317000000002,12.363319,2
Aishwarya Parkland,3.65,10,484.1,0.04766261990784816,0.03346206168221258,0.1941769809106344,0.4480018260181168,0.08350118127708564,0.19319533020410248,-13.643362,-5.385219,1
Akshaya Grand,4.25,12,161.41666666666666,0.13976119366396866,0.04760482541376946,0.08245289213706712,0.30098809595708226,0.2123457972699179,0.1335138622248613,9.334242999999999,1.2783878999999998,2
Akss India Reimagined,4.2727272727272725,11,543.2727272727273,0.07594038444719074,0.0015016564521998107,0.06722390592162482,0.5236951061248976,0.07002938449111666,0.26160956256297035,-29.521292,-13.194942999999999,1
Al Bek,4.0588235294117645,17,342.1764705882353,0.13640732477764494,0.2830078936683505,0.03122977342129645,0.21094892911028149,0.06994405893220892,0.26846202009021763,38.280125,-3.1872916,1
